Area(23 Markets),Country/Area(23 Markets),Month (abbr),Purpose_of_visit_to_Japan,Visitor Arrivals,Year
East Asia,China,Jan.,Tourism,83,2021
East Asia,China,Feb.,Tourism,40,2021
East Asia,China,Mar.,Tourism,66,2021
East Asia,China,Apr.,Tourism,110,2021
East Asia,China,May,Tourism,92,2021
East Asia,China,Jun.,Tourism,102,2021
East Asia,China,Jul.,Tourism,"2,225",2021
East Asia,China,Aug.,Tourism,662,2021
East Asia,China,Sep.,Tourism,89,2021
East Asia,China,Oct.,Tourism,143,2021
East Asia,China,Nov.,Tourism,151,2021
East Asia,China,Dec.,Tourism,88,2021
East Asia,Hong Kong,Jan.,Tourism,9,2021
East Asia,Hong Kong,Feb.,Tourism,2,2021
East Asia,Hong Kong,Mar.,Tourism,2,2021
East Asia,Hong Kong,Apr.,Tourism,6,2021
East Asia,Hong Kong,May,Tourism,9,2021
East Asia,Hong Kong,Jun.,Tourism,8,2021
East Asia,Hong Kong,Jul.,Tourism,202,2021
East Asia,Hong Kong,Aug.,Tourism,79,2021
East Asia,Hong Kong,Sep.,Tourism,15,2021
East Asia,Hong Kong,Oct.,Tourism,30,2021
East Asia,Hong Kong,Nov.,Tourism,9,2021
East Asia,Hong Kong,Dec.,Tourism,6,2021
East Asia,South Korea,Jan.,Tourism,76,2021
East Asia,South Korea,Feb.,Tourism,22,2021
East Asia,South Korea,Mar.,Tourism,31,2021
East Asia,South Korea,Apr.,Tourism,55,2021
East Asia,South Korea,May,Tourism,43,2021
East Asia,South Korea,Jun.,Tourism,107,2021
East Asia,South Korea,Jul.,Tourism,"1,023",2021
East Asia,South Korea,Aug.,Tourism,351,2021
East Asia,South Korea,Sep.,Tourism,72,2021
East Asia,South Korea,Oct.,Tourism,123,2021
East Asia,South Korea,Nov.,Tourism,155,2021
East Asia,South Korea,Dec.,Tourism,31,2021
East Asia,Taiwan,Jan.,Tourism,14,2021
East Asia,Taiwan,Feb.,Tourism,12,2021
East Asia,Taiwan,Mar.,Tourism,11,2021
East Asia,Taiwan,Apr.,Tourism,19,2021
East Asia,Taiwan,May,Tourism,29,2021
East Asia,Taiwan,Jun.,Tourism,29,2021
East Asia,Taiwan,Jul.,Tourism,259,2021
East Asia,Taiwan,Aug.,Tourism,75,2021
East Asia,Taiwan,Sep.,Tourism,37,2021
East Asia,Taiwan,Oct.,Tourism,52,2021
East Asia,Taiwan,Nov.,Tourism,40,2021
East Asia,Taiwan,Dec.,Tourism,13,2021
Southeast Asia & India,India,Jan.,Tourism,7,2021
Southeast Asia & India,India,Feb.,Tourism,7,2021
Southeast Asia & India,India,Mar.,Tourism,3,2021
Southeast Asia & India,India,Apr.,Tourism,11,2021
Southeast Asia & India,India,May,Tourism,19,2021
Southeast Asia & India,India,Jun.,Tourism,7,2021
Southeast Asia & India,India,Jul.,Tourism,293,2021
Southeast Asia & India,India,Aug.,Tourism,137,2021
Southeast Asia & India,India,Sep.,Tourism,11,2021
Southeast Asia & India,India,Oct.,Tourism,28,2021
Southeast Asia & India,India,Nov.,Tourism,13,2021
Southeast Asia & India,India,Dec.,Tourism,16,2021
Southeast Asia & India,Indonesia,Jan.,Tourism,13,2021
Southeast Asia & India,Indonesia,Feb.,Tourism,4,2021
Southeast Asia & India,Indonesia,Mar.,Tourism,10,2021
Southeast Asia & India,Indonesia,Apr.,Tourism,11,2021
Southeast Asia & India,Indonesia,May,Tourism,24,2021
Southeast Asia & India,Indonesia,Jun.,Tourism,17,2021
Southeast Asia & India,Indonesia,Jul.,Tourism,140,2021
Southeast Asia & India,Indonesia,Aug.,Tourism,84,2021
Southeast Asia & India,Indonesia,Sep.,Tourism,28,2021
Southeast Asia & India,Indonesia,Oct.,Tourism,35,2021
Southeast Asia & India,Indonesia,Nov.,Tourism,34,2021
Southeast Asia & India,Indonesia,Dec.,Tourism,15,2021
Southeast Asia & India,Malaysia,Jan.,Tourism,5,2021
Southeast Asia & India,Malaysia,Feb.,Tourism,3,2021
Southeast Asia & India,Malaysia,Mar.,Tourism,1,2021
Southeast Asia & India,Malaysia,Apr.,Tourism,3,2021
Southeast Asia & India,Malaysia,May,Tourism,3,2021
Southeast Asia & India,Malaysia,Jun.,Tourism,6,2021
Southeast Asia & India,Malaysia,Jul.,Tourism,159,2021
Southeast Asia & India,Malaysia,Aug.,Tourism,98,2021
Southeast Asia & India,Malaysia,Sep.,Tourism,2,2021
Southeast Asia & India,Malaysia,Oct.,Tourism,16,2021
Southeast Asia & India,Malaysia,Nov.,Tourism,18,2021
Southeast Asia & India,Malaysia,Dec.,Tourism,7,2021
Southeast Asia & India,Philippines,Jan.,Tourism,19,2021
Southeast Asia & India,Philippines,Feb.,Tourism,17,2021
Southeast Asia & India,Philippines,Mar.,Tourism,19,2021
Southeast Asia & India,Philippines,Apr.,Tourism,19,2021
Southeast Asia & India,Philippines,May,Tourism,32,2021
Southeast Asia & India,Philippines,Jun.,Tourism,22,2021
Southeast Asia & India,Philippines,Jul.,Tourism,141,2021
Southeast Asia & India,Philippines,Aug.,Tourism,52,2021
Southeast Asia & India,Philippines,Sep.,Tourism,34,2021
Southeast Asia & India,Philippines,Oct.,Tourism,51,2021
Southeast Asia & India,Philippines,Nov.,Tourism,48,2021
Southeast Asia & India,Philippines,Dec.,Tourism,30,2021
Southeast Asia & India,Singapore,Jan.,Tourism,3,2021
Southeast Asia & India,Singapore,Feb.,Tourism,2,2021
Southeast Asia & India,Singapore,Mar.,Tourism,0,2021
Southeast Asia & India,Singapore,Apr.,Tourism,6,2021
Southeast Asia & India,Singapore,May,Tourism,8,2021
Southeast Asia & India,Singapore,Jun.,Tourism,14,2021
Southeast Asia & India,Singapore,Jul.,Tourism,135,2021
Southeast Asia & India,Singapore,Aug.,Tourism,49,2021
Southeast Asia & India,Singapore,Sep.,Tourism,5,2021
Southeast Asia & India,Singapore,Oct.,Tourism,33,2021
Southeast Asia & India,Singapore,Nov.,Tourism,32,2021
Southeast Asia & India,Singapore,Dec.,Tourism,13,2021
Southeast Asia & India,Thailand,Jan.,Tourism,8,2021
Southeast Asia & India,Thailand,Feb.,Tourism,6,2021
Southeast Asia & India,Thailand,Mar.,Tourism,4,2021
Southeast Asia & India,Thailand,Apr.,Tourism,10,2021
Southeast Asia & India,Thailand,May,Tourism,25,2021
Southeast Asia & India,Thailand,Jun.,Tourism,6,2021
Southeast Asia & India,Thailand,Jul.,Tourism,137,2021
Southeast Asia & India,Thailand,Aug.,Tourism,181,2021
Southeast Asia & India,Thailand,Sep.,Tourism,39,2021
Southeast Asia & India,Thailand,Oct.,Tourism,27,2021
Southeast Asia & India,Thailand,Nov.,Tourism,32,2021
Southeast Asia & India,Thailand,Dec.,Tourism,23,2021
Southeast Asia & India,Vietnam,Jan.,Tourism,10,2021
Southeast Asia & India,Vietnam,Feb.,Tourism,2,2021
Southeast Asia & India,Vietnam,Mar.,Tourism,2,2021
Southeast Asia & India,Vietnam,Apr.,Tourism,7,2021
Southeast Asia & India,Vietnam,May,Tourism,10,2021
Southeast Asia & India,Vietnam,Jun.,Tourism,10,2021
Southeast Asia & India,Vietnam,Jul.,Tourism,52,2021
Southeast Asia & India,Vietnam,Aug.,Tourism,23,2021
Southeast Asia & India,Vietnam,Sep.,Tourism,14,2021
Southeast Asia & India,Vietnam,Oct.,Tourism,14,2021
Southeast Asia & India,Vietnam,Nov.,Tourism,38,2021
Southeast Asia & India,Vietnam,Dec.,Tourism,14,2021
Others,Others,Jan.,Tourism,81,2021
Others,Others,Feb.,Tourism,30,2021
Others,Others,Mar.,Tourism,94,2021
Others,Others,Apr.,Tourism,118,2021
Others,Others,May,Tourism,217,2021
Others,Others,Jun.,Tourism,350,2021
Others,Others,Jul.,Tourism,"16,086",2021
Others,Others,Aug.,Tourism,"5,315",2021
Others,Others,Sep.,Tourism,211,2021
Others,Others,Oct.,Tourism,596,2021
Others,Others,Nov.,Tourism,295,2021
Others,Others,Dec.,Tourism,110,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jan.,Tourism,3,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Feb.,Tourism,2,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Mar.,Tourism,1,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Apr.,Tourism,4,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,May,Tourism,16,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jun.,Tourism,45,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Jul.,Tourism,"1,449",2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Aug.,Tourism,392,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Sep.,Tourism,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Oct.,Tourism,92,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Nov.,Tourism,33,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Dec.,Tourism,21,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jan.,Tourism,19,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Feb.,Tourism,3,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Mar.,Tourism,7,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Apr.,Tourism,8,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,May,Tourism,19,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jun.,Tourism,44,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Jul.,Tourism,"1,435",2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Aug.,Tourism,382,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Sep.,Tourism,27,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Oct.,Tourism,87,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Nov.,Tourism,63,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Dec.,Tourism,17,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jan.,Tourism,20,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Feb.,Tourism,6,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Mar.,Tourism,9,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Apr.,Tourism,34,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,May,Tourism,22,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jun.,Tourism,57,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Jul.,Tourism,"2,207",2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Aug.,Tourism,682,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Sep.,Tourism,56,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Oct.,Tourism,107,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Nov.,Tourism,62,2021
Europe & Nordic Countries & Americas & Australia & Middle East,France,Dec.,Tourism,35,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jan.,Tourism,12,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Feb.,Tourism,6,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Mar.,Tourism,4,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Apr.,Tourism,18,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,May,Tourism,44,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jun.,Tourism,40,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Jul.,Tourism,"2,008",2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Aug.,Tourism,605,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Sep.,Tourism,53,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Oct.,Tourism,93,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Nov.,Tourism,55,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Dec.,Tourism,14,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Jan.,Tourism,4,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Feb.,Tourism,6,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Mar.,Tourism,3,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,Apr.,Tourism,28,2021
Europe & Nordic Countries & Americas & Australia & Middle East,Italy,May,Tourism,11,2021
