Purpose_of_visit_to_Japan,Year,Term,Visitor Arrivals
Tourism,1992,Jan. - Dec.,"502,871"
Tourism,1993,Jan. - Dec.,"473,318"
Tourism,1994,Jan. - Dec.,"511,753"
Tourism,1995,Jan. - Dec.,"459,166"
Tourism,1996,Jan. - Dec.,"565,034"
Tourism,1997,Jan. - Dec.,"587,299"
Tourism,1998,Jan. - Dec.,"380,279"
Tourism,1999,Jan. - Dec.,"516,053"
Tourism,2000,Jan. - Dec.,"603,697"
Tourism,2001,Jan. - Dec.,"653,370"
Tourism,2002,Jan. - Dec.,"756,991"
Tourism,2003,Jan. - Dec.,"917,590"
Tourism,2004,Jan. - Dec.,"1,037,483"
Tourism,2005,Jan. - Dec.,"1,215,766"
Tourism,2006,Jan. - Dec.,"1,614,745"
Tourism,2007,Jan. - Dec.,"2,084,195"
Tourism,2008,Jan. - Dec.,"1,892,654"
Tourism,2009,Jan. - Dec.,"1,153,935"
Tourism,2010,Jan. - Dec.,"1,963,002"
Tourism,2011,Jan. - Dec.,"1,199,020"
Tourism,2012,Jan. - Dec.,"1,569,278"
Tourism,2013,Jan. - Dec.,"1,974,117"
Tourism,2014,Jan. - Dec.,"2,285,069"
Tourism,2015,Jan. - Dec.,"3,519,608"
Tourism,2016,Jan. - Dec.,"4,593,527"
Tourism,2017,Jan. - Dec.,"6,593,328"
Tourism,2018,Jan. - Dec.,"6,977,812"
Tourism,2019,Jan. - Dec.,"5,036,943"
Tourism,2020,Jan. - Dec.,"391,046"
Tourism,2021,Jan. - Dec.,"2,089"
Tourism,2022,Jan. - Dec.,"858,828"
Tourism,2023,Jan. - Dec.,"6,640,223"
Tourism,2024,Jan. - Dec.,"8,452,682"
Others,1992,Jan. - Dec.,"81,329"
Others,1993,Jan. - Dec.,"82,864"
Others,1994,Jan. - Dec.,"82,375"
Others,1995,Jan. - Dec.,"84,357"
Others,1996,Jan. - Dec.,"83,241"
Others,1997,Jan. - Dec.,"83,311"
Others,1998,Jan. - Dec.,"77,967"
Others,1999,Jan. - Dec.,"86,278"
Others,2000,Jan. - Dec.,"93,421"
Others,2001,Jan. - Dec.,"99,916"
Others,2002,Jan. - Dec.,"107,744"
Others,2003,Jan. - Dec.,"106,310"
Others,2004,Jan. - Dec.,"110,770"
Others,2005,Jan. - Dec.,"129,056"
Others,2006,Jan. - Dec.,"126,010"
Others,2007,Jan. - Dec.,"135,773"
Others,2008,Jan. - Dec.,"142,261"
Others,2009,Jan. - Dec.,"141,198"
Others,2010,Jan. - Dec.,"142,222"
Others,2011,Jan. - Dec.,"152,296"
Others,2012,Jan. - Dec.,"141,365"
Others,2013,Jan. - Dec.,"148,022"
Others,2014,Jan. - Dec.,"144,169"
Others,2015,Jan. - Dec.,"145,757"
Others,2016,Jan. - Dec.,"162,580"
Others,2017,Jan. - Dec.,"180,820"
Others,2018,Jan. - Dec.,"204,141"
Others,2019,Jan. - Dec.,"235,055"
Others,2020,Jan. - Dec.,"57,258"
Others,2021,Jan. - Dec.,"14,617"
Others,2022,Jan. - Dec.,"75,344"
Others,2023,Jan. - Dec.,"144,312"
Others,2024,Jan. - Dec.,"179,304"
Transit,1992,Jan. - Dec.,"13,529"
Transit,1993,Jan. - Dec.,"14,486"
Transit,1994,Jan. - Dec.,"15,827"
Transit,1995,Jan. - Dec.,"16,073"
Transit,1996,Jan. - Dec.,"22,753"
Transit,1997,Jan. - Dec.,"19,656"
Transit,1998,Jan. - Dec.,"15,486"
Transit,1999,Jan. - Dec.,"35,356"
Transit,2000,Jan. - Dec.,"33,258"
Transit,2001,Jan. - Dec.,"42,203"
Transit,2002,Jan. - Dec.,"52,477"
Transit,2003,Jan. - Dec.,"67,770"
