Category,2023,2019,2018,2017
Package product for group tour,223549,143783,140167,129303
Package product for individual trip,225962,135382,136831,132870
Round-trip air (or sea) tickets,109729,67014,65652,66924
Accommodation (including the amount paid prior to the trip),79541,53420,52504,28635
"Restaurant, fast food, caf? etc.",46144,32136,31435,16685
Transport - Domestic flights (inside Japan only),23995,16509,22744,27680
Transport - Japan Rail Pass,31047,20896,21245,19813
"Transport - Shinkansen, railway, subway, monorail",34772,24500,10049,10321
Transport - Buses,13306,9698,3311,5545
Transport - Taxis,4196,3428,7102,5545
Transport - Car rental,10522,7725,18664,16999
Transport - Ships (inside Japan only),31688,20263,4823,NA
Transport - Other transport costs,8473,3694,7985,5810
Service - On-site tours and guides,16836,10106,12191,10263
Service - Theme parks,17205,12355,10203,11910
Service - Stage or music performances,13105,13734,14937,NA
Service - Sports watching,21694,15657,11504,13514
"Service - Galleries, museums, zoos, etc.",9009,46144,3543,3770
Service - Ski lifts,4674,3637,19261,20457
Service - Hot spring and similar,24212,21214,4765,NA
Service - Massage and medical costs,6659,4946,26689,NA
Service - Participation fees for exhibitions and conventions,23506,21758,8673,NA
Service - Rental charges (excluding car rental),30401,9402,8151,NA
"Service - Usage fees for golf course, sports facilities",13113,10160,18212,NA
Service - Other service costs,33678,19651,27959,7340
Shopping - Confectioneries,73683,25135,8353,8207
Shopping - Alcoholic beverages,11107,55277,7211,NA
Shopping - Fresh agricultural products,10302,8222,5165,NA
"Shopping - Other food, drink & tobacco",11889,8676,8976,10322
"Shopping - Cosmetics, perfume",11444,5819,30861,28614
Shopping - Medicine,21827,34176,13886,16570
"Shopping - Health goods, toiletries",14425,14637,15042,NA
Shopping - Clothes,17290,14361,19393,27673
"Shopping - Shoes, bags, leather goods",25440,19585,23779,NA
Shopping - Electrical products,42872,28986,31168,28891
Shopping - Watches and film cameras,36122,27425,53641,45612
"Shopping - Jewelry, precious metals",79244,56718,61878,NA
Shopping - Folk crafts,79281,43541,10511,13461
"Shopping - Books, magazines, travel guides",12926,8713,6495,6892
"Shopping - Software, music, videos, games",8972,5894,14287,9498
Shopping - Other purchases,20129,13736,14376,24360
Other,23308,16443,23403,40887
